FactTable
1, B, X, p1, b, 40, -33, 1800, 24
2014, B, Y, p1, b, 46, 66, 900, 100
2015, C, X, p3, w, 37, 22, 1500, 171
2016, B, X, p3, w, 31, 22, 1800, 60
2017, A, Y, p1, a, 37, 11, 1100, 42
2018, B, Y, lri, a, 27, 99, 1900, 140
2019, B, Y, p3, a, 14, 55, 1400, 126
2020, A, X, p1, l, 32, -22, 100, 108
2021, A, X, lri, l, 25, 22, 200, 150
2022, C, Y, p2, l, 39, 33, 1700, 63
2023, A, Y, p2, a, 32, 66, 1400, 84
2024, B, X, psi, b, 37, 110, 2000, 136
2025, B, X, p1, w, 8, 55, 100, 12
2026, B, X, lri, l, 24, 110, 1500, 24
2027, B, X, p1, w, 36, 77, 300, 57
2028, C, X, p3, b, 5, -22, 1200, 133
2029, B, Y, p3, b, 29, 55, 600, 12
2030, C, Y, p3, l, 33, 66, 1600, 126
2031, B, Y, psi, w, 40, 110, 1900, 40
2032, A, X, p3, w, 47, -22, 900, 60
2033, C, X, psi, a, 34, 11, 1400, 65
2034, C, X, p2, w, 25, 44, 700, 78
2035, C, Y, p2, w, 10, 110, 900, 91
2036, C, Y, lri, b, 6, 0, 1900, 42
2037, A, Y, p2, l, 23, -33, 1900, 32
2038, C, Y, lri, a, 49, 44, 2000, 60
2039, A, X, lri, a, 43, 0, 1200, 130
2040, C, X, p1, b, 41, 11, 1600, 40
2041, A, Y, lri, a, 48, -11, 900, 63
2042, A, X, p3, b, 17, 55, 500, 39
2043, B, X, p3, a, 50, 77, 1300, 57
2044, B, Y, lri, w, 39, 11, 300, 72
2045, C, Y, p2, l, 45, -11, 800, 60
2046, A, X, p2, l, 47, 110, 1600, 19
2047, B, Y, psi, a, 1, -11, 1000, 72
2048, A, X, psi, w, 23, 0, 1300, 90
2049, C, Y, p2, w, 7, 0, 400, 144
2050, C, Y, p2, a, 25, 22, 1800, 96
2051, C, X, lri, w, 23, 88, 2000, 48
2052, B, X, p1, l, 39, 33, 1300, 19
2053, A, Y, lri, l, 32, 110, 100, 81
2054, C, X, lri, a, 49, 22, 600, 15
2055, B, X, psi, a, 21, 77, 900, 128
2056, A, Y, lri, w, 5, 88, 2000, 88
2057, C, X, psi, l, 35, 88, 1000, 13
2058, C, X, p1, b, 37, 33, 1300, 12
2059, C, X, p3, b, 45, 44, 900, 13
2060, B, Y, lri, w, 32, -22, 1800, 17
2061, B, Y, p1, a, 31, 66, 1200, 33
2062, B, X, p1, l, 31, 77, 2000, 114
2063, B, X, lri, l, 27, 99, 1400, 64
2064, A, Y, psi, l, 47, 110, 800, 110
2065, C, Y, p2, a, 42, -44, 900, 96
2066, B, X, p2, l, 26, 55, 1300, 72
2067, B, X, lri, w, 22, 0, 1400, 24
2068, C, Y, p1, w, 4, -55, 1600, 28
2069, C, X, p1, w, 38, -11, 800, 30
2070, B, Y, p1, b, 15, 22, 1600, 144
2071, A, Y, p3, b, 3, 77, 300, 70
2072, C, X, p2, l, 47, -55, 1300, 160
2073, B, Y, p1, l, 22, -22, 200, 84
2074, B, Y, psi, w, 22, 77, 1900, 96
2075, B, Y, p3, w, 47, 33, 400, 6
2076, B, Y, psi, b, 2, 66, 1100, 120
2077, B, X, p1, a, 12, 0, 1500, 136
2078, A, Y, lri, l, 28, 110, 1300, 90
2079, A, X, lri, a, 18, -11, 2000, 90
2080, C, Y, p1, b, 32, -44, 1300, 54
2081, C, Y, p3, l, 38, 110, 1400, 56
2082, A, Y, lri, a, 1, -44, 1500, 112
2083, C, Y, lri, w, 49, 77, 1500, 63
2084, A, X, p1, w, 31, 110, 100, 80
2085, B, X, p3, b, 18, 77, 600, 35
2086, B, Y, p2, l, 38, 22, 1900, 99
2087, C, X, lri, a, 29, 33, 1800, 22
2088, B, X, p2, a, 11, -33, 1700, 99
2089, A, X, p3, l, 15, 99, 700, 104
2090, A, Y, psi, w, 47, 22, 800, 54
2091, B, X, p3, l, 39, -55, 100, 22
2092, A, X, p1, a, 10, 77, 1000, 88
2093, A, X, lri, b, 10, 22, 1600, 80
2094, B, Y, p2, a, 2, 110, 700, 49
2095, B, X, lri, b, 6, 33, 500, 48
2096, B, X, lri, w, 17, -55, 800, 9
2097, A, Y, p2, w, 4, 99, 100, 119
2098, B, X, lri, a, 3, 88, 500, 119
2099, C, Y, p1, l, 10, 66, 1500, 77
2100, A, Y, p3, w, 26, -22, 1000, 84
2101, A, Y, p2, w, 25, 33, 900, 28
2102, B, Y, p3, b, 38, 88, 300, 36
2103, C, X, lri, b, 46, 88, 500, 60
2104, A, X, p3, b, 41, 0, 2000, 19
2105, C, X, p2, a, 2, -22, 500, 112
2106, B, Y, lri, w, 15, -22, 1300, 153
2107, C, Y, p2, w, 42, 44, 200, 160
2108, B, Y, lri, a, 45, 66, 1900, 105
2109, A, Y, psi, w, 26, 0, 1400, 13
2110, A, X, p3, a, 19, -44, 1900, 48
2111, C, X, p2, b, 27, 110, 900, 128
2112, C, X, psi, a, 8, 66, 800, 7
2113, C, Y, psi, w, 29, 77, 1700, 114
2114, A, Y, p2, b, 17, 55, 2000, 119
2115, B, Y, lri, l, 39, -22, 1500, 153
2116, C, Y, psi, a, 44, -11, 2000, 153
2117, B, Y, p2, a, 48, 99, 700, 72
2118, C, Y, lri, w, 30, 22, 1400, 63
2119, C, X, lri, w, 15, -55, 1000, 152
2120, B, Y, p2, l, 40, -33, 800, 7
2121, A, X, p1, w, 2, 55, 1500, 48
2122, A, Y, p3, l, 14, 55, 100, 28
2123, A, Y, psi, a, 10, 33, 2000, 19
2124, A, Y, p3, w, 46, -33, 400, 84
2125, C, Y, p2, a, 26, 77, 1600, 10
2126, C, Y, lri, a, 10, -44, 1800, 68
2127, B, Y, lri, l, 19, 77, 100, 99
2128, B, Y, lri, b, 16, 88, 100, 110
2129, C, Y, psi, w, 40, 77, 1400, 108
2130, C, X, psi, b, 50, 22, 400, 14
2131, C, Y, p1, w, 43, 33, 200, 28
2132, A, X, lri, a, 1, -55, 1500, 114
2133, C, Y, lri, a, 3, 55, 900, 126
2134, B, Y, lri, b, 32, -22, 900, 60
2135, C, X, p2, l, 19, -22, 900, 40
2136, C, Y, p1, b, 6, 55, 700, 96
2137, B, X, p1, l, 6, -55, 900, 108
2138, B, X, lri, l, 44, 55, 300, 48
2139, A, Y, lri, w, 6, 44, 1300, 90
2140, B, X, p3, w, 33, 22, 700, 90
2141, C, X, p1, w, 19, 77, 1700, 112
2142, A, X, p3, w, 19, -22, 1200, 9
2143, B, Y, psi, l, 11, 88, 700, 126
2144, A, X, psi, w, 9, 22, 1400, 24
2145, A, Y, p1, l, 27, -11, 200, 17
2146, B, X, p3, w, 35, -22, 1100, 112
2147, B, Y, lri, b, 14, 66, 1100, 35
2148, B, X, p2, b, 41, -11, 2000, 36
2149, B, X, p3, l, 2, 0, 200, 42
2150, C, Y, psi, w, 1, 44, 1400, 60
2151, B, X, lri, b, 4, 33, 400, 60
2152, C, X, p2, b, 27, 99, 1400, 70
2153, A, X, p2, w, 31, 77, 200, 28
2154, A, Y, p1, w, 33, 22, 900, 33
2155, A, X, p1, l, 43, -22, 300, 36
2156, A, X, lri, w, 25, 11, 700, 24
2157, B, Y, p2, a, 2, 55, 400, 96
2158, C, X, p2, a, 29, -33, 1700, 144
2159, C, X, lri, w, 25, 110, 100, 60
2160, A, Y, lri, a, 38, 0, 2000, 50
2161, B, X, p3, a, 23, 77, 500, 40
2162, B, X, p2, l, 47, 77, 100, 70
2163, C, X, lri, w, 22, -44, 500, 76
2164, B, Y, p1, a, 11, 44, 1100, 15
2165, A, Y, p1, a, 45, 88, 400, 21
2166, A, Y, psi, l, 30, -11, 1600, 180
2167, B, X, p3, l, 21, 110, 600, 16
2168, C, Y, lri, a, 12, -55, 1900, 24
2169, B, Y, lri, w, 32, 0, 500, 14
2170, A, Y, psi, l, 32, 0, 1200, 18
2171, B, X, p2, w, 47, -11, 1400, 120
2172, A, Y, psi, w, 33, -44, 1500, 24
2173, B, X, p2, w, 1, 55, 700, 22
2174, A, Y, p1, w, 5, 99, 1400, 64
2175, C, X, p1, l, 49, 99, 1200, 45
2176, A, Y, p2, w, 3, 0, 900, 48
2177, B, Y, p1, b, 37, 99, 1300, 56
2178, B, X, lri, b, 14, -33, 2000, 48
2179, B, Y, psi, w, 23, 33, 1200, 36
2180, A, X, psi, w, 39, 110, 1900, 8
2181, C, Y, p3, a, 9, -22, 1800, 54
2182, C, Y, lri, l, 41, 44, 100, 54
2183, A, Y, p3, w, 33, -33, 1400, 45
2184, C, Y, psi, w, 42, 11, 1400, 60
2185, C, X, psi, b, 45, -44, 900, 80
2186, B, Y, psi, b, 25, 33, 1800, 180
2187, A, X, p1, w, 23, 77, 1000, 32
2188, A, X, p3, w, 10, 22, 400, 48
2189, A, X, lri, b, 41, 22, 1100, 65
2190, B, X, psi, l, 45, 11, 100, 76
2191, C, X, p1, w, 22, 110, 1500, 18
2192, C, X, lri, a, 28, 55, 500, 36
2193, C, Y, p1, w, 27, 110, 1100, 55
2194, C, X, p1, w, 23, 11, 500, 14
2195, B, X, psi, b, 47, 33, 1100, 80
2196, C, X, p2, a, 33, -44, 1100, 18
2197, B, X, p2, a, 27, -33, 500, 133
2198, C, Y, p3, l, 7, -44, 700, 56
2199, A, Y, p3, a, 12, 66, 1400, 9
2200, B, X, psi, a, 26, 33, 1400, 48
2201, C, Y, p3, w, 13, -55, 1900, 128
2202, A, Y, p2, l, 21, -11, 500, 60
2203, C, Y, psi, l, 23, -33, 500, 36
2204, B, X, p1, w, 24, 99, 600, 18
2205, B, Y, psi, l, 41, 99, 1500, 12
2206, C, X, p2, w, 19, -44, 1700, 24
2207, C, X, p3, l, 28, -55, 1700, 33
2208, A, X, psi, w, 23, 44, 200, 44
2209, C, X, psi, l, 50, -22, 1600, 49
2210, A, X, psi, b, 4, 0, 900, 80
2211, C, Y, psi, w, 24, 0, 1900, 136
2212, C, X, psi, w, 19, 33, 900, 119
2213, A, Y, p1, b, 47, 33, 1400, 27
2214, A, Y, p2, a, 19, 22, 500, 114
2215, A, Y, p1, w, 12, 33, 1900, 90
2216, C, Y, p1, w, 36, 110, 500, 72
2217, B, Y, p1, b, 18, 110, 600, 35
2218, B, X, p2, a, 14, -33, 100, 14
2219, B, Y, p1, a, 27, -22, 1000, 70
2220, C, X, lri, l, 1, 66, 1800, 65
2221, A, Y, lri, b, 3, 22, 100, 77
2222, B, X, p1, l, 5, 110, 300, 130
2223, C, Y, p3, w, 41, 55, 1200, 77
2224, B, Y, p2, w, 39, -22, 100, 50
2225, B, Y, p2, a, 12, 99, 1800, 190
2226, B, Y, lri, l, 42, -55, 300, 50
2227, B, Y, p1, b, 13, 110, 1400, 133
2228, A, X, lri, b, 15, -22, 1700, 33
2229, C, Y, psi, w, 36, 22, 900, 120
2230, B, Y, psi, l, 15, 44, 900, 98
2231, B, Y, p1, b, 29, 33, 1200, 64
2232, A, Y, lri, l, 41, -22, 900, 95
2233, A, Y, p3, a, 30, 33, 700, 24
2234, B, Y, p1, l, 17, -55, 200, 72
2235, C, Y, p2, w, 1, 11, 400, 80
2236, C, X, p1, b, 36, 22, 1400, 120
2237, B, Y, p3, w, 9, -11, 1900, 76
2238, B, X, lri, w, 20, 110, 1800, 98
2239, C, X, p1, w, 50, 77, 2000, 133
2240, C, X, p1, a, 44, 11, 1000, 162
2241, C, X, lri, a, 48, 66, 900, 26
2242, C, Y, lri, b, 32, 77, 200, 22
2243, C, X, p3, l, 24, 66, 1800, 36
2244, A, X, psi, a, 35, 66, 1000, 126
2245, C, Y, lri, w, 6, 77, 1300, 112
2246, C, Y, p1, b, 37, 66, 500, 120
2247, B, X, p3, l, 20, -22, 700, 98
2248, A, Y, lri, w, 26, -11, 700, 112
2249, C, Y, lri, l, 41, -55, 2000, 171
2250, B, X, p2, a, 49, 66, 1500, 6
2251, B, X, psi, w, 39, -44, 600, 72
2252, C, X, p1, b, 12, -44, 400, 36
2253, C, X, p1, w, 26, 77, 1600, 60
2254, B, X, p3, b, 29, -55, 300, 66
2255, A, Y, psi, a, 21, -22, 2000, 126
2256, B, X, p2, l, 31, 22, 400, 140
2257, B, Y, p2, a, 26, 88, 200, 77
2258, C, Y, p2, w, 37, 0, 200, 13
2259, A, X, p3, l, 43, 44, 2000, 63
2260, B, Y, p2, b, 20, 88, 1800, 80
2261, A, X, psi, b, 12, 33, 2000, 16
2262, A, X, p2, a, 42, -22, 1000, 102
2263, C, Y, psi, l, 37, -44, 2000, 60
2264, A, Y, lri, l, 42, 11, 1100, 120
2265, B, X, lri, w, 23, -11, 1900, 81
2266, A, Y, p1, b, 2, -11, 1500, 50
2267, C, Y, p2, a, 22, 33, 1000, 84
2268, B, X, psi, l, 30, -22, 300, 112
2269, A, X, p3, b, 15, -11, 1900, 120
2270, A, Y, psi, a, 10, -55, 1000, 152
2271, C, X, p3, b, 4, 22, 1700, 36
2272, C, Y, p2, b, 10, -22, 1100, 160
2273, A, X, psi, w, 28, 22, 1700, 30
2274, C, Y, p1, l, 45, 77, 1400, 76
2275, B, X, p2, b, 27, 22, 1000, 56
2276, C, X, psi, a, 27, -11, 1000, 80
2277, A, Y, p2, a, 48, 66, 1800, 10
2278, A, X, p3, l, 9, 22, 600, 84
2279, C, X, p2, a, 35, 77, 1500, 20
2280, B, Y, lri, b, 1, 0, 1300, 24
2281, A, Y, psi, b, 29, -44, 1800, 119
2282, C, Y, p2, b, 25, 66, 700, 65
2283, B, X, p2, b, 15, -33, 700, 63
2284, B, Y, p1, w, 39, -33, 1500, 26
2285, A, X, p2, l, 46, -55, 600, 21
2286, A, X, p2, w, 17, 11, 1200, 56
2287, C, X, psi, l, 20, 66, 1200, 170
2288, B, X, p3, w, 5, 33, 1400, 72
2289, C, Y, lri, w, 46, 110, 1900, 63
2290, C, Y, p2, w, 46, 110, 900, 153
2291, B, Y, p3, a, 1, -44, 700, 68
2292, A, Y, p3, b, 6, 0, 300, 42
2293, A, X, p1, b, 43, 66, 100, 12
2294, A, Y, lri, w, 33, 55, 300, 57
2295, A, Y, psi, b, 20, 110, 300, 34
2296, B, Y, lri, l, 23, 66, 100, 36
2297, C, Y, psi, w, 46, 77, 400, 75
2298, C, Y, lri, b, 4, 110, 1700, 162
2299, A, Y, lri, w, 46, -44, 900, 33
2300, A, Y, p1, a, 41, -33, 700, 90
2301, C, X, p1, b, 7, 99, 800, 64
2302, C, Y, lri, l, 41, -22, 2000, 20
2303, A, X, psi, a, 21, 110, 500, 11
2304, A, Y, lri, a, 32, -55, 500, 95
2305, C, Y, p3, b, 18, 110, 500, 90
2306, A, X, psi, w, 29, 88, 1600, 36
2307, A, Y, psi, b, 7, 77, 1800, 60
2308, A, X, p2, b, 20, 22, 500, 56
2309, A, Y, psi, a, 25, 77, 1800, 60
2310, C, Y, lri, a, 2, 99, 100, 75
2311, B, X, p3, b, 31, 33, 1800, 16
2312, B, X, p3, a, 24, 66, 700, 14
2313, C, Y, psi, l, 24, 0, 1200, 40
2314, C, Y, p3, b, 31, -11, 500, 18
2315, B, Y, lri, w, 17, 11, 100, 75
2316, C, Y, p1, l, 25, 99, 200, 78
2317, C, X, p3, a, 18, 77, 800, 40
2318, B, X, p3, a, 23, 88, 2000, 66
2319, A, X, p2, b, 41, -33, 1700, 85
2320, A, Y, lri, w, 31, -11, 1300, 44
2321, C, X, lri, b, 38, 0, 500, 30
2322, A, X, psi, a, 29, 66, 900, 72
2323, A, Y, psi, a, 6, 99, 400, 12
2324, A, X, p3, b, 24, 88, 1800, 45
2325, C, X, psi, b, 2, 55, 300, 19
2326, B, Y, p2, w, 47, 11, 1900, 85
2327, C, Y, p1, l, 26, -22, 200, 72
2328, B, Y, lri, l, 16, 99, 300, 7
2329, C, X, p2, w, 19, 110, 1100, 60
2330, C, Y, p3, w, 45, -22, 800, 60
2331, B, Y, p3, w, 19, 66, 1700, 32
2332, A, Y, p3, a, 33, 22, 800, 45
2333, B, X, psi, b, 34, -33, 300, 16
2334, B, X, psi, a, 5, -11, 100, 112
2335, B, X, p3, b, 33, 110, 500, 70
2336, B, X, psi, w, 11, 110, 1500, 36
2337, C, X, p2, b, 28, 33, 1900, 160
2338, C, Y, p1, a, 48, 44, 500, 110
2339, A, X, p2, w, 7, 11, 300, 126
2340, A, X, p2, a, 36, 33, 1900, 70
2341, C, Y, p3, b, 30, 110, 1300, 48
2342, B, Y, lri, w, 48, 110, 200, 72
2343, C, X, lri, w, 20, -33, 1900, 126
2344, B, X, p2, w, 39, -44, 300, 6
2345, A, X, p1, b, 24, 77, 300, 27
2346, C, X, p1, b, 12, 11, 1100, 28
2347, B, X, psi, a, 12, 110, 1700, 48
2348, A, Y, psi, w, 34, 88, 600, 96
2349, A, X, p1, a, 13, 110, 1700, 14
2350, A, X, p1, w, 7, 66, 2000, 35
2351, B, Y, p1, l, 7, -44, 1000, 66
2352, B, X, lri, b, 24, 33, 1300, 108
2353, B, Y, p3, a, 8, 55, 1800, 54
2354, B, X, psi, a, 9, 88, 1700, 144
2355, C, X, p1, w, 23, -55, 200, 120
2356, C, X, psi, w, 48, -55, 700, 18
2357, B, Y, psi, l, 24, 110, 600, 144
2358, A, Y, p2, a, 43, 66, 1400, 76
2359, A, X, p2, w, 26, -33, 1900, 72
2360, A, X, p1, w, 42, 99, 1200, 24
2361, B, Y, p3, w, 41, 55, 1800, 42
2362, B, Y, p1, a, 11, -33, 300, 42
2363, B, X, p2, a, 38, -44, 1900, 90
2364, B, X, lri, a, 49, 88, 1000, 60
2365, B, X, p3, w, 42, 88, 1100, 56
2366, B, Y, p3, a, 35, 11, 200, 70
2367, A, X, psi, w, 10, -55, 1000, 52
2368, C, X, psi, l, 29, -55, 400, 13
2369, B, X, lri, a, 5, 11, 1600, 50
2370, B, X, lri, l, 17, 0, 400, 140
2371, A, X, p2, l, 29, 77, 2000, 96
2372, A, Y, lri, a, 15, 33, 1300, 36
2373, C, X, p1, b, 6, 22, 300, 133
2374, C, Y, psi, a, 45, 22, 1600, 96
2375, A, X, p2, b, 43, 0, 1400, 13
2376, A, Y, p1, l, 32, 77, 500, 42
2377, A, X, psi, a, 47, 11, 200, 85
2378, C, X, lri, w, 41, -22, 600, 120
2379, C, Y, lri, l, 45, 0, 1900, 16
2380, B, X, psi, b, 38, -55, 1300, 18
2381, C, Y, p1, l, 40, -44, 600, 66
2382, C, Y, psi, w, 22, 22, 500, 153
2383, A, Y, lri, w, 45, 99, 800, 56
2384, A, X, p3, l, 9, -33, 1500, 56
2385, C, Y, p2, l, 7, -44, 1900, 64
2386, B, X, p3, b, 47, 110, 1700, 11
2387, A, X, psi, w, 2, -55, 1700, 54
2388, B, X, p1, b, 30, 55, 1500, 40
2389, A, Y, psi, a, 41, 55, 300, 90
2390, C, X, p1, w, 43, -22, 100, 28
2391, C, Y, p3, b, 13, 99, 300, 8
2392, C, X, p3, a, 35, 11, 1600, 57
2393, B, Y, lri, l, 37, 0, 1100, 38
2394, A, X, p2, l, 15, -22, 1000, 76
2395, A, Y, p1, w, 13, 33, 400, 21
2396, A, X, p3, a, 30, -55, 1600, 90
2397, C, Y, p1, w, 36, -11, 1000, 20
2398, A, Y, lri, w, 32, 44, 1600, 52
2399, C, Y, p1, b, 35, -33, 1600, 72
2400, B, Y, psi, w, 8, -44, 200, 171
2401, C, Y, p3, l, 7, 110, 1200, 84
2402, A, X, p1, b, 34, -55, 900, 12
2403, C, Y, psi, b, 44, 55, 700, 119
2404, B, Y, p1, w, 47, -11, 200, 24
2405, C, X, psi, b, 37, -22, 1100, 65
2406, C, X, p2, l, 49, 33, 1200, 78
2407, C, X, p2, a, 43, 0, 1600, 26
2408, B, X, p2, w, 40, 0, 500, 56
2409, B, X, p3, a, 50, 55, 2000, 9
2410, A, X, p2, w, 32, -33, 1600, 44
2411, A, X, psi, a, 4, 99, 500, 35
2412, B, Y, p3, w, 6, -11, 1500, 19
2413, C, Y, p3, a, 6, -55, 1300, 56
2414, A, Y, p1, l, 48, 0, 1700, 32
2415, B, X, p1, w, 7, 55, 1600, 75
2416, A, X, lri, l, 43, 22, 400, 45
2417, A, Y, p2, w, 10, 44, 800, 152
2418, B, Y, p1, l, 18, 77, 1700, 54
2419, A, X, psi, b, 14, 55, 1000, 119
2420, B, Y, p3, a, 38, -33, 1600, 22
2421, A, Y, p1, a, 20, 77, 600, 119
2422, A, Y, p3, l, 45, -33, 1200, 49
2423, C, X, p2, a, 12, 110, 1800, 190
2424, A, Y, psi, b, 25, 88, 1500, 72
2425, C, X, p1, b, 30, 77, 600, 119
2426, A, X, p2, b, 35, -44, 1900, 84
2427, C, X, p3, w, 20, 110, 500, 48
2428, B, X, p1, w, 9, 33, 1800, 20
2429, A, X, p3, l, 1, -11, 1800, 144
2430, C, X, p1, w, 13, 66, 1300, 60
2431, A, Y, psi, b, 14, 0, 1200, 30
2432, B, X, lri, l, 48, 99, 500, 18
2433, B, X, p1, l, 11, 77, 1000, 133
2434, A, X, psi, b, 43, 66, 1500, 36
2435, B, Y, lri, a, 50, 33, 500, 17
2436, A, X, p2, l, 9, -11, 1900, 72
2437, A, Y, p1, a, 45, -33, 2000, 96
2438, C, Y, p1, b, 31, 44, 700, 6
2439, C, X, lri, a, 24, 11, 600, 17
2440, A, Y, psi, l, 43, -55, 200, 120
2441, B, Y, psi, l, 6, 44, 100, 90
2442, A, Y, lri, a, 3, 66, 1500, 60
2443, C, Y, p3, b, 2, 44, 1200, 42
2444, C, Y, p2, w, 9, -33, 1300, 48
2445, B, Y, lri, l, 21, 88, 1100, 24
2446, A, X, p2, b, 16, 11, 200, 117
2447, A, X, p2, w, 21, 11, 1600, 36
2448, C, Y, p3, a, 46, 22, 1100, 128
2449, C, X, p3, w, 30, 44, 100, 65
2450, B, Y, p1, a, 14, 0, 1600, 65
2451, A, X, p3, w, 27, 55, 100, 133
2452, B, X, lri, a, 9, 66, 600, 144
2453, A, X, psi, b, 34, 99, 600, 63
2454, C, X, psi, a, 46, 44, 900, 126
2455, A, X, p1, w, 43, 0, 200, 108
2456, C, X, p2, w, 9, -55, 1700, 108
2457, B, X, lri, l, 40, -33, 1600, 84
2458, A, X, p2, a, 16, 33, 600, 135
2459, C, X, p1, a, 49, 99, 2000, 72
2460, C, Y, p2, w, 35, -55, 1800, 17
2461, C, X, p3, w, 25, -33, 1400, 112
2462, A, Y, psi, b, 15, 66, 1100, 64
2463, C, X, lri, b, 2, 110, 300, 38
2464, A, X, lri, b, 31, 66, 1600, 85
2465, C, X, psi, a, 31, 33, 1800, 49
2466, A, Y, p2, a, 29, 33, 900, 18
2467, A, X, p2, b, 47, -44, 800, 54
2468, B, X, p1, l, 39, 11, 100, 80
2469, A, Y, p2, l, 8, 33, 600, 85
2470, A, X, psi, b, 49, 22, 1000, 153
2471, C, X, psi, l, 38, 55, 600, 36
2472, B, Y, p2, w, 15, 11, 800, 12
2473, C, X, p3, b, 8, 66, 100, 6
2474, A, Y, lri, w, 11, -22, 1900, 108
2475, B, X, p2, l, 14, 11, 1900, 60
2476, B, X, lri, w, 40, 33, 1100, 56
2477, B, Y, p2, w, 38, 11, 700, 18
2478, C, Y, p2, a, 8, -22, 900, 85
2479, B, Y, p2, w, 26, -22, 900, 96
2480, A, X, p3, w, 49, 66, 200, 56
2481, B, Y, p3, l, 27, 66, 1600, 30
2482, C, Y, psi, b, 25, 55, 900, 72
2483, A, Y, p1, a, 45, 11, 700, 48
2484, B, Y, psi, l, 11, -11, 1300, 105
2485, A, Y, p1, a, 43, 11, 1400, 48
2486, C, X, psi, a, 6, 77, 600, 56
2487, A, X, p2, b, 45, 11, 1300, 99
2488, A, X, psi, w, 46, -11, 1300, 126
2489, B, Y, p1, l, 33, 66, 1100, 114
2490, B, X, p2, a, 25, -22, 900, 40
2491, A, X, psi, b, 12, -11, 600, 56
2492, A, Y, p1, b, 15, -55, 1100, 48
2493, C, X, p3, a, 28, 11, 700, 84
2494, B, Y, p3, b, 41, 11, 1700, 72
2495, C, Y, p1, l, 14, 66, 1800, 180
2496, A, Y, psi, a, 5, 11, 700, 60
2497, C, Y, p2, b, 46, 99, 100, 9
2498, C, Y, psi, w, 5, -44, 1600, 90
2499, B, X, p3, b, 44, -55, 700, 54
2500, C, Y, lri, a, 37, 77, 1500, 27
2501, C, X, p2, l, 27, 110, 1000, 45
2502, A, Y, p3, l, 15, -11, 100, 77
2503, B, X, psi, l, 18, 99, 1200, 12
2504, A, X, lri, w, 43, -44, 800, 63
2505, A, X, p1, b, 41, 11, 100, 30
2506, A, Y, p3, a, 10, 0, 1000, 60
2507, B, X, p1, a, 13, -22, 1800, 45
2508, A, Y, p2, a, 50, 55, 900, 152
2509, B, X, p2, a, 30, -44, 1300, 108
2510, C, Y, p3, l, 25, 44, 1100, 128
2511, C, Y, p1, a, 46, 0, 1200, 39
2512, A, Y, psi, a, 36, 110, 1800, 120
2513, A, X, p1, l, 8, 110, 600, 48
2514, C, Y, p2, w, 46, 110, 400, 24
2515, B, X, p2, a, 29, -33, 900, 162
2516, A, X, p3, l, 38, 88, 2000, 80
2517, A, Y, p1, a, 50, 0, 1100, 100
2518, A, Y, lri, w, 44, 66, 1300, 90
2519, A, Y, lri, w, 9, 55, 700, 35
2520, C, X, p2, b, 37, 88, 200, 19
2521, C, Y, lri, w, 2, 44, 800, 136
2522, C, Y, lri, a, 18, 22, 1000, 63
2523, B, X, p1, a, 33, 88, 700, 120
2524, B, Y, p1, b, 39, 33, 1400, 126
2525, C, X, psi, b, 22, -33, 400, 70
2526, A, Y, psi, l, 3, 77, 1600, 162
2527, B, X, p2, w, 28, 110, 200, 45
2528, A, X, lri, a, 36, 11, 1200, 65
2529, A, Y, psi, b, 28, 22, 100, 48
2530, C, Y, p3, l, 49, 11, 1100, 108
2531, A, X, psi, l, 43, -55, 500, 36
2532, B, Y, lri, b, 22, -11, 1600, 50
2533, A, X, lri, w, 24, 33, 200, 63
2534, A, X, p3, a, 6, -11, 1700, 24
2535, A, Y, lri, w, 13, 55, 2000, 60
2536, B, X, p2, l, 29, -55, 1600, 144
2537, B, Y, psi, l, 15, -11, 700, 104
2538, B, X, p2, a, 30, 110, 1600, 70
2539, C, X, p3, l, 9, 110, 1700, 90
2540, A, X, lri, w, 19, 99, 1600, 56
2541, B, X, p2, l, 19, 44, 300, 50
2542, A, X, p2, b, 45, 0, 500, 117
2543, B, X, p1, w, 35, -22, 1800, 60
2544, C, X, psi, b, 46, 11, 1200, 39
2545, A, X, lri, w, 42, 88, 800, 51
2546, C, Y, psi, a, 1, 11, 1800, 24
2547, C, Y, p3, l, 22, -33, 400, 152
2548, C, X, p3, a, 3, -22, 1500, 21
2549, B, Y, p2, a, 49, 110, 1000, 15
2550, A, Y, p3, l, 32, 88, 1600, 160
2551, C, Y, p2, a, 24, -22, 900, 17
2552, C, Y, lri, l, 1, 77, 1900, 80
2553, B, Y, p3, w, 4, 55, 1700, 72
2554, B, Y, p3, a, 20, -44, 1200, 63
2555, A, Y, lri, w, 18, 33, 600, 190
2556, C, Y, p1, l, 33, 55, 300, 18
2557, A, Y, p2, w, 3, 88, 1100, 72
2558, C, Y, lri, a, 18, 55, 1000, 30
2559, C, X, psi, b, 20, -33, 100, 90
2560, A, Y, p1, l, 47, 44, 1200, 11
2561, C, X, lri, w, 3, 22, 900, 96
2562, C, Y, p2, b, 8, -33, 300, 63
2563, C, Y, p2, a, 30, -11, 200, 76
2564, B, X, p3, w, 27, -55, 1400, 80
2565, A, Y, p1, b, 14, 11, 700, 38
2566, C, X, p3, b, 48, -11, 1600, 135
2567, B, Y, p2, l, 33, 88, 1400, 34
2568, B, X, p2, l, 15, 11, 400, 88
2569, A, X, psi, w, 19, 88, 1900, 60
2570, B, X, p2, b, 35, 88, 1700, 90
